name,address,latitude,longitude,county,Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,radius_miles
Meijer,"1251 M-32, Alpena, MI 49707, United States",45.0591468,-83.4746932,Alcona,0,25,2,1,1,1,1,88,28,0,0,0,0,0,3
Meijer,"100 Pigeon Rd, Bad Axe, MI 48413, United States",43.8256988,-83.0047454,Alcona,0,6,0,0,1,1,4,17,1,0,0,0,0,0,3
Meijer,"9515 Birch Run Rd, Birch Run, MI 48415, United States",43.2529182,-83.7658004,Alcona,0,8,0,1,0,0,0,0,2,0,0,0,0,0,3
Meijer,"3360 Tittabawassee Rd, Saginaw, MI 48604, United States",43.4820299,-83.9824788,Alcona,0,33,0,1,2,2,0,66,28,0,0,0,0,0,3
Meijer Express Gas Station,"1241 M-32, Alpena, MI 49707, United States",45.0611621,-83.4746063,Alcona,0,25,2,1,1,1,1,88,28,0,0,0,0,0,3
Meijer,"7300 Eastman Ave, Midland, MI 48642, United States",43.66317,-84.2431904,Alcona,0,22,1,2,2,10,5,53,25,0,0,0,0,0,3
Meijer,"3955 US-31, Traverse City, MI 49684, United States",44.7431122,-85.6445616,Alcona,0,82,3,2,2,2,3,207,83,0,0,0,0,0,3
Meijer,"3630 US-41 West, Marquette, MI 49855, United States",46.5530229,-87.4717557,Alger,0,17,0,2,0,1,0,151,51,0,0,0,0,0,3
Meijer,"505 N 26th St, Escanaba, MI 49829, United States",45.7514114,-87.0866699,Alger,0,22,1,0,1,1,4,371,20,0,0,0,0,0,3
Meijer,"1201 Lears Rd, Petoskey, MI 49770, United States",45.3469047,-84.9648513,Alger,0,18,1,0,3,2,0,82,5,0,0,0,0,0,3
Meijer,"3691 M-55, West Branch, MI 48661, United States",44.2742424,-84.2742614,Alger,0,12,0,0,2,1,2,23,2,0,0,0,0,0,3
Meijer Express Gas Station,"3730 US-41, Marquette, MI 49855, United States",46.5487136,-87.4747672,Alger,0,17,0,2,0,0,0,127,42,0,0,0,0,0,3
Meijer Express Gas Station,"2600 3rd Ave N, Escanaba, MI 49829, United States",45.7492853,-87.0854277,Alger,0,22,1,0,1,1,4,371,20,0,0,0,0,0,3
Meijer,"800 US-131, Three Rivers, MI 49093, United States",41.9339359,-85.6544184,Alger,0,7,0,0,1,1,1,49,18,0,0,0,0,0,3
Meijer,"5300 Harvey St, Muskegon, MI 49444, United States",43.1564924,-86.2032498,Alger,0,12,0,0,0,0,3,28,26,0,0,0,0,0,3
Meijer,"1540 28th St SE, Grand Rapids, MI 49508, United States",42.9109204,-85.62924,Alger,0,42,0,1,5,1,1,95,111,0,0,0,0,0,3
Meijer,"315 Wilson Ave NW, Grand Rapids, MI 49534, United States",42.969937,-85.7786065,Alger,0,17,1,0,1,0,1,129,12,0,0,0,0,0,3
Meijer,"3825 Carpenter Rd, Ypsilanti, MI 48197, United States",42.2340066,-83.6770729,Alger,0,51,1,6,4,10,1,776,99,0,0,0,0,0,3
Meijer,"28800 Telegraph Rd, Southfield, MI 48034, United States",42.5001128,-83.2823578,Alger,0,28,2,0,2,0,1,353,95,0,0,0,0,0,3
Meijer,"21431 Grand River Ave, Detroit, MI 48219, United States",42.4122461,-83.2528348,Alger,0,17,0,0,4,1,0,409,136,0,0,0,0,0,3
Meijer,"1301 Eight Mile Rd, Detroit, MI 48203, United States",42.4446792,-83.1192245,Alger,0,75,13,0,6,2,0,305,77,0,0,0,0,0,3
Meijer Express Gas Station,"7420 N Alger Rd, Alma, MI 48801, United States",43.3989601,-84.6662143,Alger,0,6,1,0,2,1,1,1,0,0,0,0,0,0,3
Meijer,"3565 Fairlane Dr, Allen Park, MI 48101, United States",42.2789819,-83.2040801,Alger,0,80,2,1,5,2,2,294,83,0,0,0,0,0,3
Meijer Express Gas Station,"2141 US-131, Petoskey, MI 49770, United States",45.3459991,-84.9670953,Alger,0,19,1,0,2,2,0,82,5,0,0,0,0,0,3
Meijer,"1195 M-89, Plainwell, MI 49080, United States",42.4523698,-85.6601861,Allegan,0,13,0,0,2,1,3,22,13,0,0,0,0,0,3
Meijer,"4900 M-72, Williamsburg, MI 49690, United States",44.7708506,-85.4771958,Antrim,0,5,6,1,0,0,0,50,0,0,0,0,0,0,3
Meijer,"4900 M-72, Williamsburg, MI 49690, United States",44.7708506,-85.4771958,Antrim,0,5,6,1,0,0,0,50,0,0,0,0,0,0,3
Meijer,"4900 M-72 E, Williamsburg, MI 49690, United States",44.7708506,-85.4771958,Antrim,0,5,6,1,0,0,0,50,0,0,0,0,0,0,3
Meijer,"4900 M-72 E, Williamsburg, MI 49690, United States",44.7708506,-85.4771958,Antrim,0,5,6,1,0,0,0,50,0,0,0,0,0,0,3
Meijer,"250 Meijer Dr, Gaylord, MI 49735, United States",45.0249741,-84.7233385,Antrim,0,15,0,0,1,1,3,0,4,0,0,0,0,0,3
Meijer,"8605 34 Rd, Cadillac, MI 49601, United States",44.2837106,-85.4050028,Antrim,0,6,0,0,1,1,2,1,2,0,0,0,0,0,3
Meijer,"1015 E Pickard St, Mt Pleasant, MI 48858, United States",43.614212,-84.7648504,Antrim,0,33,1,0,2,2,3,311,26,0,0,0,0,0,3
Meijer,"2805 W Cheesman Rd, Alma, MI 48801, United States",43.3983948,-84.6624102,Antrim,0,6,1,0,2,1,1,1,0,0,0,0,0,0,3
Meijer,"3700 17 Mile Rd NE, Cedar Springs, MI 49319, United States",43.217321,-85.5792888,Antrim,0,4,0,0,2,0,2,2,32,0,0,0,0,0,3
Meijer Express Gas Station,"40 Meijer Dr, Gaylord, MI 49735, United States",45.0270784,-84.7230404,Antrim,0,15,0,0,1,1,3,0,4,0,0,0,0,0,3
Meijer,"550 Hull Rd, Mason, MI 48854, United States",42.5659498,-84.444688,Antrim,0,6,0,0,1,0,2,17,6,0,0,0,0,0,3
Meijer,"2777 Airport Rd, Jackson, MI 49202, United States",42.2712674,-84.4505632,Antrim,0,26,1,0,1,3,3,25,130,0,0,0,0,0,3
Meijer,"1167 E Clinton Trail, Charlotte, MI 48813, United States",42.5551697,-84.8142953,Antrim,0,2,0,0,1,0,2,0,16,0,0,0,0,0,3
Meijer,"22600 Allen Rd, Woodhaven, MI 48183, United States",42.1439784,-83.2300745,Antrim,0,44,0,0,3,2,1,862,18,0,0,0,0,0,3
Meijer,"7157 E Saginaw St, East Lansing, MI 48823, United States",42.773573,-84.4178103,Antrim,0,7,0,0,1,1,0,300,45,0,0,0,0,0,3
Meijer,"9701 Belleville Rd, Belleville, MI 48111, United States",42.2320789,-83.4831806,Antrim,0,18,0,5,2,0,2,255,15,0,0,0,0,0,3
Meijer,"5019 Red Arrow Hwy, Stevensville, MI 49127, United States",42.0262862,-86.5160359,Antrim,0,8,0,0,1,0,0,0,0,0,0,0,0,0,3
Meijer,"14640 Pardee Rd, Taylor, MI 48180, United States",42.2003355,-83.2613078,Antrim,0,46,0,5,2,1,1,726,21,0,0,0,0,0,3
Meijer,"5645 Jackson Rd, Ann Arbor, MI 48103, United States",42.286165,-83.8419384,Antrim,0,11,0,2,0,0,0,204,16,0,0,0,0,0,3
Meijer,"20401 Haggerty Rd, Township of Northville, MI 48167, United States",42.4356869,-83.4371012,Antrim,0,74,8,3,1,0,1,1507,68,0,0,0,0,0,3
Meijer,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, United States",42.239608,-83.766545,Antrim,0,120,7,14,8,0,3,796,168,0,0,0,0,0,3
Meijer,"5800 Gull Rd, Kalamazoo, MI 49048, United States",42.323266,-85.5153914,Antrim,0,16,0,0,2,1,2,117,1,0,0,0,0,0,3
Meijer,"6660 W Main St, Kalamazoo, MI 49009, United States",42.2985975,-85.6795672,Antrim,0,28,0,0,1,0,0,667,16,0,0,0,0,0,3
Meijer,"225 Meijer Dr, Gaylord, MI 49735, United States",45.0254877,-84.7243762,Antrim,0,15,0,0,1,1,3,0,4,0,0,0,0,0,3
Meijer,"595 N Pine Rd, Bay City, MI 48708, United States",43.5827165,-83.8388917,Arenac,0,18,0,0,1,0,2,4,11,0,0,0,0,0,3
Meijer,"2980 Wilder Rd, Bay City, MI 48706, United States",43.6218004,-83.9341727,Arenac,0,33,0,0,2,0,0,0,2,0,0,0,0,0,3
Meijer,"8400 Gratiot Rd, Saginaw, MI 48609, United States",43.4179573,-84.0796051,Arenac,0,13,0,0,2,0,0,12,1,0,0,0,0,0,3
Meijer,"1801 Marketplace Dr SE, Caledonia, MI 49316, United States",42.8462516,-85.6193955,Arenac,0,17,0,1,2,0,0,169,7,0,0,0,0,0,3
Meijer Express Gas Station,"1023 N Van Dyke Rd, Bad Axe, MI 48413, United States",43.8243782,-83.0013038,Arenac,0,6,0,0,1,1,4,17,1,0,0,0,0,0,3
Meijer,"1997 E Beltline Ave NE, Grand Rapids, MI 49525, United States",42.9967323,-85.5942082,Arenac,0,39,0,1,2,2,1,60,12,0,0,0,0,0,3
Meijer,"1006 N Van Dyke Rd, Bad Axe, MI 48413, United States",43.8237466,-83.0007968,Arenac,0,6,0,0,1,1,4,17,1,0,0,0,0,0,3
Meijer Express Gas Station,"7140 Eastman Ave, Midland, MI 48642, United States",43.6626171,-84.2465328,Arenac,0,22,1,2,2,10,5,53,25,0,0,0,0,0,3
Meijer Express Gas Station,"6700 Broadmoor Ave SE, Caledonia, MI 49316, United States",42.8423657,-85.5309757,Arenac,0,5,0,0,0,0,3,65,29,0,0,0,0,0,3
Meijer,"3610 Marketplace Cir, Rochester Hills, MI 48309, United States",42.6434377,-83.2060397,Baraga,0,41,1,2,2,0,3,33,31,0,0,0,0,0,3
Meijer,"49900 Grand River Ave, Wixom, MI 48393, United States",42.4977493,-83.5411911,Baraga,0,19,12,4,1,5,1,43,43,0,0,0,0,0,3
Meijer,"2160 Hartland Rd, Hartland, MI 48353, United States",42.6384221,-83.7442177,Baraga,0,9,18,0,1,0,0,25,19,0,0,0,0,0,3
Meijer,"3175 S Rochester Rd, Rochester Hills, MI 48307, United States",42.6344456,-83.1284868,Baraga,0,30,0,0,0,1,2,162,16,0,0,0,0,0,3
Meijer,"37201 Warren Rd, Westland, MI 48185, United States",42.333412,-83.406013,Baraga,0,53,3,4,2,1,2,1482,49,0,0,0,0,0,3
Meijer,"6405 B Dr N, Battle Creek, MI 49014, United States",42.263198,-85.1734044,Barry,0,11,0,0,0,0,0,47,1,0,0,0,0,0,3
Meijer,"11901 Fulton St E, Lowell Charter Township, MI 49331, United States",42.9333975,-85.3746319,Barry,0,1,0,0,1,0,4,0,1,0,0,0,0,0,3
Meijer,"2770 S State Rd, Ionia, MI 48846, United States",42.9463032,-85.0773741,Barry,0,6,0,0,1,1,4,0,2,0,0,0,0,0,3
Meijer,"2191 W Columbia Ave, Battle Creek, MI 49015, United States",42.294587,-85.2360084,Barry,0,9,1,0,0,0,4,107,25,0,0,0,0,0,3
Meijer,"5121 S Westnedge Ave, Portage, MI 49002, United States",42.2424882,-85.5873337,Barry,0,51,1,1,3,1,4,228,24,0,0,0,0,0,3
Meijer,"5531 28th St Ct SE, Grand Rapids, MI 49512, United States",42.9159337,-85.532151,Barry,0,42,0,2,2,0,5,197,99,0,0,0,0,0,3
Meijer,"5500 Clyde Park Ave SW, Wyoming, MI 49509, United States",42.8637909,-85.6811215,Barry,0,25,0,1,1,4,1,36,11,0,0,0,0,0,3
Meijer,"730 E Saginaw Hwy, Grand Ledge, MI 48837, United States",42.738588,-84.741562,Barry,0,6,1,0,1,0,2,33,10,0,0,0,0,0,3
Meijer,"12821 Crossover Dr, DeWitt, MI 48820, United States",42.8290801,-84.5371836,Barry,0,6,0,0,1,0,1,37,11,0,0,0,0,0,3
Meijer,"3434 Century Center St SW, Grandville, MI 49418, United States",42.8798547,-85.748607,Barry,0,47,0,1,1,4,1,106,40,0,0,0,0,0,3
Meijer,"2055 W Grand River Ave, Okemos, MI 48864, United States",42.7197222,-84.4252778,Barry,0,60,1,2,4,2,0,610,167,0,0,0,0,0,3
Meijer,"606 S Greenville W Dr, Greenville, MI 48838, United States",43.1747604,-85.2776512,Barry,0,3,0,0,0,1,2,36,4,0,0,0,0,0,3
Meijer,"2799 10 Mile Rd NE, Rockford, MI 49341, United States",43.1194779,-85.6019817,Barry,0,11,0,0,1,1,0,38,4,0,0,0,0,0,3
Meijer,"550 Baldwin St, Jenison, MI 49428, United States",42.9049568,-85.7948913,Barry,0,30,1,1,2,0,2,114,82,0,0,0,0,0,3
Meijer,"6200 S Pennsylvania Ave, Lansing, MI 48911, United States",42.6680054,-84.540846,Barry,0,22,0,0,2,1,2,266,123,0,0,0,0,0,3
Meijer,"4075 32nd Ave, Hudsonville, MI 49426, United States",42.8428593,-85.863496,Barry,0,7,0,0,1,0,1,30,2,0,0,0,0,0,3
Meijer,"5125 W Saginaw Hwy, Lansing, MI 48917, United States",42.7392458,-84.6236254,Barry,0,37,1,7,1,0,3,469,157,0,0,0,0,0,3
Meijer,"15000 US-31, Grand Haven, MI 49417, United States",43.0392583,-86.2175056,Barry,0,31,1,0,2,0,3,30,4,0,0,0,0,0,3
Meijer,"1350 W Lake Lansing Rd, East Lansing, MI 48823, United States",42.7625,-84.5005555,Barry,0,79,6,2,4,1,1,954,125,0,0,0,0,0,3
Meijer,"8850 Shaver Rd, Portage, MI 49024, United States",42.1885773,-85.6039598,Barry,0,32,1,0,1,0,0,165,9,0,0,0,0,0,3
Meijer,"3333 E Michigan Ave, Jackson, MI 49202, United States",42.255201,-84.3597991,Barry,0,12,0,0,1,6,1,38,62,0,0,0,0,0,3
Meijer,"620 E Chicago Rd, Coldwater, MI 49036, United States",41.937628,-84.9594768,Barry,0,2,0,0,2,0,1,2,1,0,0,0,0,0,3
Meijer,"2425 Alpine Ave NW, Grand Rapids, MI 49544, United States",43.0078252,-85.6910749,Barry,0,51,0,1,4,3,2,50,39,0,0,0,0,0,3
Meijer,"3320 W Shr Dr, Holland, MI 49424, United States",42.8288269,-86.0909194,Barry,0,40,4,5,3,0,0,14,31,0,0,0,0,0,3
Meijer,"1223 Phoenix St, South Haven, MI 49090, United States",42.4062846,-86.2566099,Barry,0,20,0,0,1,2,2,72,154,0,0,0,0,0,3
Meijer,"15400 Waldron Way, Big Rapids, MI 49307, United States",43.6904411,-85.516716,Barry,0,6,2,1,2,2,4,74,1,0,0,0,0,0,3
Meijer,"3757 Plainfield Ave NE, Grand Rapids, MI 49525, United States",43.0332866,-85.6281376,Barry,0,33,0,0,3,1,0,44,15,0,0,0,0,0,3
Meijer,"11901 Fulton St E, Lowell, MI 49331, United States",42.9332556,-85.3746566,Barry,0,1,0,0,1,0,4,0,1,0,0,0,0,0,3
Meijer,"746 E 16th St, Holland, MI 49423, United States",42.7815232,-86.0755654,Barry,0,53,3,6,3,1,1,70,53,0,0,0,0,0,3
Meijer,"408 W South St, Sturgis, MI 49091, United States",41.7866373,-85.4244934,Barry,0,2,0,3,1,3,4,1,5,0,0,0,0,0,3
Meijer Express Gas Station,"2750 S State Rd, Ionia, MI 48846, United States",42.9481147,-85.0755104,Barry,0,6,0,0,1,1,4,0,2,0,0,0,0,0,3
Meijer,"15 Caberfae Hwy, Manistee, MI 49660, United States",44.2673394,-86.2954866,Benzie,0,9,2,2,1,1,5,0,2,0,0,0,0,0,3
Meijer Express Gas Station,"3965 US-31, Traverse City, MI 49684, United States",44.7435604,-85.6422922,Benzie,0,82,3,2,2,2,4,207,83,0,0,0,0,0,3
Meijer,"3900 US-10, Ludington, MI 49431, United States",43.9583358,-86.3772048,Benzie,0,11,0,2,0,1,3,4,2,0,0,0,0,0,3
Meijer,"1920 Pipestone Rd, Benton Harbor, MI 49022, United States",42.0827148,-86.4216183,Berrien,0,1,0,4,1,0,1,95,1,0,0,0,0,0,3
Meijer Express Gas Station,"4931 Red Arrow Hwy, Stevensville, MI 49127, United States",42.0281796,-86.515443,Berrien,0,8,0,0,1,0,0,0,0,0,0,0,0,0,3
Meijer Express Gas Station,"2217 W Columbia Ave, Battle Creek, MI 49015, United States",42.2966504,-85.2377101,Calhoun,0,8,1,0,0,0,4,98,24,0,0,0,0,0,3
Meijer Express Gas Station,"6345 B Dr N, Battle Creek, MI 49014, United States",42.2616721,-85.1743075,Calhoun,0,11,0,0,0,0,0,44,1,0,0,0,0,0,3
Meijer Express Gas Station,"824 S US Hwy 131, Three Rivers, MI 49093, United States",41.9331334,-85.6524231,Cass,0,7,0,0,1,1,1,49,18,0,0,0,0,0,3
Meijer,"1138 3 Mile Rd, Sault Ste. Marie, MI 49783, United States",46.4656245,-84.3876595,Cheboygan,0,8,0,0,2,1,1,15,1,0,0,0,0,0,3
Meijer,"2333 S Center Rd, Burton, MI 48519, United States",42.9937913,-83.6305099,Cheboygan,0,15,0,0,2,0,0,0,3,0,0,0,0,0,3
Meijer,"2333 S Center Rd, Burton, MI 48519, United States",42.9937913,-83.6305099,Cheboygan,0,15,0,0,2,0,0,0,3,0,0,0,0,0,3
Meijer,"G, 2333 S Center Rd, Burton, MI 48519, United States",42.9937913,-83.6305099,Clare,0,15,0,0,2,0,0,0,3,0,0,0,0,0,3
