StoreID,latitude,longitude,visits,Grocery_Stores_1mile,Food_Outlets_1mile,Educational_Institutions_1mile,Residential_Housing_1mile,Commercial_Housing_1mile,Fuel_Stations_Car_Wash_1mile,Hospitals_3miles,Apparels_3miles,Tourist_Destinations_5miles,Hotels_5miles,Airports_5miles,City,State,County,Census Tract Code,Census Block Code,Household_Income_Under50k,Household_Income_50to100k,Household_Income_100to200k,Household_Income_200k+,Median_Age,Population_Male_Under15,Population_Male_15to64,Population_Male_65+,Population_Female_Under15,Population_Female_15to64,Population_Female_65+,driving distance to nearest motorway (in miles),duration to nearest motorway (in mins),Traffic (AADT)
19,43.19287695,-86.26128199,33029,14,29,3,16,19,8,7,1,5,1,6,Norton Shores,MI,Muskegon County,2400,1008,251,197,61,10,32.7,236,732,125,160,915,231,3.3,8,13943.0
20,43.00796082,-85.69168723,33513,7,20,0,7,7,5,9,1,5,2,6,Grand Rapids,MI,Kent County,11502,1014,308,241,420,54,34.9,35,511,267,60,441,331,0.7,3,20324.0
21,42.32323958,-85.51548986,37185,6,28,1,75,0,7,2,0,3,0,6,Kalamazoo,MI,Kalamazoo County,2204,1008,288,95,55,0,27.8,65,375,42,64,300,81,12.3,18,4852.0
22,42.24244151,-85.58724579,36144,8,24,5,24,4,6,7,9,4,2,6,Portage,MI,Kalamazoo County,3500,4022,347,164,190,35,37.9,221,673,139,328,809,138,0.6,3,32726.0
23,42.73906827,-84.62387577,32024,13,49,8,146,37,7,13,10,13,8,7,Lansing,MI,Eaton County,20102,1000,487,238,113,0,29.2,152,300,48,93,232,112,3.9,7,29597.0
25,42.71909696,-84.42469868,42797,18,40,7,61,81,5,17,4,4,3,1,Okemos,MI,Ingham County,4903,1050,339,369,363,47,30.9,70,421,251,17,410,350,17.1,21,6621.0
26,42.90454191,-85.79482275,30407,6,9,5,43,20,5,3,7,1,1,4,Jenison,MI,Ottawa County,21603,3001,136,288,63,0,40.4,325,574,177,236,646,359,0.9,4,13704.0
27,42.23362288,-83.67649675,28907,9,16,3,49,12,5,21,15,12,19,8,Ypsilanti,MI,Washtenaw County,414500,4000,0,0,0,0,0.0,88,198,109,190,332,65,3.9,8,18535.0
29,42.99370053,-83.63049739,27079,3,7,3,0,1,2,4,0,1,0,2,Burton,MI,Genesee County,11508,2000,604,55,0,9,51.5,155,882,266,311,943,401,3.5,7,21125.0
32,42.31941532,-83.48453143,34141,16,30,3,53,3,6,15,3,1,6,3,Canton,MI,Wayne County,564200,3000,0,0,0,0,0.0,205,623,287,189,543,340,2.2,7,14336.0
33,44.74302258,-85.64459259,50808,10,22,8,34,1,6,10,40,4,3,8,Traverse City,MI,Grand Traverse County,551400,1040,209,203,224,49,59.7,43,334,240,172,511,224,34.5,43,4030.0
34,42.53913595,-83.18177121,33612,15,25,4,270,14,7,29,101,44,16,3,Royal Oak,MI,Oakland County,183000,3000,0,0,0,0,0.0,21,635,110,81,907,182,2.7,7,22036.0
35,42.2004387,-83.26154501,31082,18,37,6,125,1,9,31,28,7,6,16,Taylor,MI,Wayne County,584501,2012,255,205,124,0,33.9,47,784,125,94,647,185,3.6,8,1616.0
36,42.86370457,-85.68079292,36546,9,6,0,0,1,5,14,3,0,2,1,Wyoming,MI,Kent County,14505,2017,309,272,127,0,41.2,122,716,235,168,715,170,0.3,2,34661.0
41,42.08203304,-86.42199087,32184,10,3,1,3,1,7,2,1,0,5,3,Benton Harbor,MI,Berrien County,2100,3033,345,61,10,0,43.9,283,836,198,334,1013,55,0.5,2,8477.0
42,43.41824631,-84.07955353,34356,4,12,5,1,0,3,0,1,0,0,0,Saginaw,MI,Saginaw County,12003,1001,273,300,105,82,46.5,75,728,280,258,833,323,8.3,18,6079.0
43,43.48254906,-83.98256323,39158,16,39,1,0,5,6,11,24,1,1,3,Saginaw,MI,Saginaw County,10200,1053,153,200,143,22,20.7,130,532,227,204,594,211,7.1,11,7034.0
44,42.94668427,-83.72865248,35607,4,10,0,0,6,4,3,4,0,0,5,Flint,MI,Genesee County,12904,1040,165,348,239,28,54.4,0,0,0,0,3,0,4.3,7,22775.0
45,41.87690541,-84.0357897,29318,9,27,2,0,2,7,5,2,0,0,4,Adrian,MI,Lenawee County,61600,2023,421,217,32,0,32.0,0,0,0,0,0,0,21.5,28,19788.0
46,42.53868958,-83.78878844,28000,9,25,3,0,4,8,7,3,1,3,3,Brighton,MI,Livingston County,741100,3002,268,133,47,11,57.8,0,503,14,43,322,81,0.9,5,7573.0
47,42.78116925,-86.0754052,38000,8,9,4,0,3,8,4,18,4,6,2,Holland,MI,Ottawa County,25200,4002,322,346,105,0,25.9,0,0,0,0,0,0,2.0,5,17576.0
48,43.62126067,-83.93410214,32208,4,6,1,0,1,2,5,2,0,0,1,Bay City,MI,Bay County,285800,5001,73,111,179,20,40.7,48,1121,122,55,1992,124,0.5,3,4973.0
50,42.91602229,-85.53218501,45611,7,24,0,44,5,5,2,10,2,3,5,Grand Rapids,MI,Kent County,12201,2016,291,370,276,104,49.2,0,381,10,0,281,52,0.4,2,31137.0
51,41.05701845,-83.59988298,25098,15,41,1,63,20,12,13,20,3,7,5,Findlay,OH,Hancock County,600,5037,443,443,127,74,51.4,86,404,129,73,353,184,6.4,13,7190.0
52,42.76296458,-84.50041347,47528,5,21,3,171,21,6,12,20,15,5,8,East Lansing,MI,Ingham County,3802,1015,859,171,92,0,24.9,185,886,0,126,620,0,0.4,2,5201.0
53,42.65311273,-83.36830099,34236,7,9,4,0,1,4,15,2,9,0,10,Waterford,MI,Oakland County,144701,1001,314,63,84,0,45.9,41,339,53,97,316,45,10.2,18,34540.0
54,42.435589,-83.43730603,29137,8,33,3,297,10,5,19,1,14,9,4,Northville,MI,Wayne County,560202,1002,0,44,285,140,58.1,0,402,44,19,178,54,0.3,2,641.0
55,42.56276286,-83.02625432,26447,6,17,2,4,1,4,10,0,8,3,3,Sterling Heights,MI,Macomb County,231800,2015,213,208,129,63,37.8,168,672,217,200,613,225,3.1,8,37438.0
56,42.25473373,-84.35960021,37206,4,5,0,0,1,2,10,3,0,0,3,Michigan Center,MI,Jackson County,6001,2009,135,150,10,0,44.5,14,550,172,47,534,65,0.4,2,5913.0
57,42.6340698,-83.12868664,31979,11,23,1,48,0,6,10,1,5,0,3,Rochester Hills,MI,Oakland County,193700,4000,159,145,97,69,44.9,119,167,51,112,184,66,5.3,10,102382.0
58,40.09260429,-83.09417809,21193,13,33,1,301,5,10,11,12,11,9,8,Dublin,OH,Franklin County,6302,2009,124,216,246,37,30.4,0,298,134,60,352,288,1.2,4,1688.0
61,39.49954343,-84.33150626,17702,13,23,3,43,2,8,5,1,4,0,4,Middletown,OH,Warren County,30700,4038,369,220,164,0,39.7,0,0,0,0,0,0,9.1,13,8006.0
64,42.23935876,-83.76608804,45571,10,30,1,38,11,4,26,55,10,19,7,Ann Arbor,MI,Washtenaw County,414700,1011,269,316,326,137,35.2,118,601,113,160,562,138,0.5,3,8120.0
65,42.62999451,-82.9765643,30911,13,41,4,87,1,7,20,11,4,2,3,Shelby Township,MI,Macomb County,227300,2002,443,103,102,20,71.6,41,401,129,226,413,100,2.9,7,5531.0
66,39.94281484,-83.83017692,30421,10,5,1,0,2,4,8,0,1,1,4,Springfield,OH,Clark County,1900,1018,285,126,73,0,30.0,132,585,223,57,364,262,0.9,4,13515.0
67,41.94488217,-83.39950366,37353,11,23,0,4,6,7,11,4,3,0,3,Monroe,MI,Monroe County,831400,4000,411,161,50,17,32.1,23,194,54,51,219,54,6.5,11,7800.0
68,42.33258995,-83.40574584,33122,12,25,1,377,5,9,17,2,6,6,4,Westland,MI,Wayne County,568900,2000,223,130,136,14,59.0,38,456,34,145,532,84,2.2,5,23786.0
69,43.61459478,-84.76481226,53618,6,12,5,0,12,5,5,2,1,0,4,Mount Pleasant,MI,Isabella County,940300,3003,131,211,31,23,33.4,217,1096,201,293,937,150,0.4,2,1700.0
70,42.14411383,-83.23008222,32868,17,48,1,68,4,9,25,9,6,5,9,Woodhaven,MI,Wayne County,982102,1002,0,0,0,0,0.0,67,610,72,94,720,121,0.9,4,12377.0
71,43.28340485,-86.22032071,33285,3,1,0,0,1,2,4,0,7,1,3,Muskegon,MI,Muskegon County,1800,1010,316,367,141,9,44.9,150,341,111,130,452,212,0.9,3,2952.0
102,39.68544956,-84.13258156,32282,4,15,3,41,11,2,14,39,5,0,4,Dayton,OH,Montgomery County,21601,2002,100,232,85,17,36.6,110,533,147,114,432,425,3.2,9,15294.0
103,39.67081309,-84.21875523,21414,4,8,0,2,0,3,4,38,4,8,3,Dayton,OH,Montgomery County,50105,1005,408,347,205,0,47.0,9,433,143,103,388,267,5.5,9,19297.0
104,39.98401329,-83.15432202,30215,14,39,1,205,26,9,11,5,4,5,3,Hilliard,OH,Franklin County,7966,2017,489,535,273,151,28.6,159,283,59,129,251,141,0.6,3,13631.0
105,42.67673772,-82.83565425,27301,13,14,2,23,4,7,6,1,36,1,12,Chesterfield,MI,Macomb County,222103,2003,383,325,80,0,28.8,73,533,203,70,788,276,2.0,8,7723.0
106,39.85796714,-84.27510735,32004,4,9,0,1,0,5,2,0,2,5,7,Englewood,OH,Montgomery County,120102,1001,117,171,162,115,43.8,55,347,123,145,420,142,0.5,3,27677.0
107,39.77749915,-84.07368119,28745,5,33,32,87,38,6,10,33,4,6,8,Fairborn,OH,Greene County,210101,2004,316,323,467,221,34.1,70,509,206,113,612,283,2.5,6,2711.0
108,43.66319811,-84.24318594,39915,10,22,4,3,16,8,22,3,2,2,7,Midland,MI,Midland County,291104,3018,194,306,152,217,47.8,33,858,41,129,423,89,7.2,11,4461.0
109,42.54763013,-83.4421881,26874,11,19,1,0,3,7,10,0,38,5,6,Commerce Township,MI,Oakland County,134800,1001,158,110,147,39,36.2,30,239,96,84,228,105,3.5,6,27250.0
110,40.77149489,-84.16157665,35039,4,4,24,0,1,0,2,1,2,0,4,Lima,OH,Allen County,11000,4003,424,138,172,0,54.4,28,306,16,64,270,20,6.1,11,13904.0
111,40.57874907,-83.07203305,26075,11,22,9,0,38,3,9,1,0,4,5,Marion,OH,Marion County,10100,1045,218,116,209,87,37.6,117,634,274,77,688,243,14.6,16,2271.0
112,40.05454335,-84.24347386,21545,7,21,0,9,3,7,5,0,0,0,7,Troy,OH,Miami County,365001,2005,245,144,64,19,48.9,41,272,52,177,483,52,0.7,3,32866.0
113,43.00180653,-84.11582073,26850,4,7,0,118,23,3,4,1,1,0,5,Owosso,MI,Shiawassee County,31700,2017,191,104,56,0,50.7,0,0,0,0,0,0,8.7,14,6777.0
114,40.06087198,-82.86011521,26635,11,47,0,107,2,7,7,50,2,7,5,Columbus,OH,Franklin County,7209,2024,133,351,387,17,31.3,133,755,159,222,699,395,5.5,11,19984.0
115,41.57936999,-83.66690133,32061,5,24,1,0,4,9,4,7,4,7,4,Maumee,OH,Lucas County,7104,2004,167,88,231,4,53.4,57,414,81,125,421,70,0.7,3,15036.0
116,41.61896444,-83.48239749,35154,2,15,2,0,5,5,7,0,1,2,11,Oregon,OH,Lucas County,10100,4005,359,38,7,0,44.9,142,365,55,214,485,38,2.3,5,3085.0
117,41.67649588,-83.71829306,35322,4,32,2,54,2,4,9,1,1,3,4,Toledo,OH,Lucas County,9206,1010,222,215,168,54,41.4,121,604,144,223,437,172,6.6,12,32712.0
118,41.72044168,-83.51057651,30613,4,7,1,8,0,6,4,2,0,3,6,Toledo,OH,Lucas County,5602,1017,207,53,65,0,48.7,0,191,0,0,535,44,0.8,3,17242.0
119,42.29867703,-85.67941605,49590,3,4,1,12,1,2,4,3,3,1,1,Kalamazoo,MI,Kalamazoo County,2908,3029,240,180,287,198,41.3,156,598,125,179,724,240,0.9,3,19078.0
120,41.72635176,-86.28571362,28768,2,6,2,1,1,4,6,2,3,11,10,South Bend,IN,St. Joseph County,11002,3019,638,397,378,0,38.1,164,478,117,161,817,136,4.5,11,18810.0
121,41.70658627,-86.18558266,38938,18,50,2,5,8,8,22,11,4,14,5,Mishawaka,IN,St. Joseph County,11505,1020,59,90,139,40,39.3,100,808,152,227,643,231,10.8,16,27703.0
122,42.49778209,-83.54129001,26289,10,12,2,0,6,8,9,1,15,4,4,Wixom,MI,Oakland County,133102,2003,232,166,35,0,36.6,17,296,69,23,153,129,1.0,5,16872.0
123,42.19124216,-83.18477138,39309,15,40,9,55,8,10,73,25,19,5,1,Southgate,MI,Wayne County,582000,4003,312,154,0,13,28.4,113,369,195,218,422,283,3.8,10,11904.0
124,41.13786323,-85.16597617,33209,5,22,0,1,58,9,3,3,34,22,15,Fort Wayne,IN,Allen County,10604,2012,352,146,9,8,25.6,0,529,59,66,410,51,0.7,3,7410.0
126,40.78962014,-82.59337341,36760,9,14,8,164,19,4,14,13,4,6,8,Mansfield,OH,Richland County,2300,5023,285,118,133,87,42.8,18,252,112,76,283,188,0.6,3,1967.0
127,41.62485797,-85.90991276,30717,8,14,0,0,3,1,0,2,2,1,2,Elkhart,IN,Elkhart County,2001,2010,410,224,127,67,72.1,100,585,76,156,841,145,2.5,6,4875.0
128,41.62777553,-86.17230762,31449,3,3,0,42,1,3,7,2,5,2,0,Mishawaka,IN,St. Joseph County,11704,2015,504,414,113,18,29.4,151,490,114,93,483,124,5.2,8,2991.0
129,39.82625963,-86.25178418,24556,18,29,5,0,0,9,2,1,3,4,6,Indianapolis,IN,Marion County,310306,2020,175,17,0,0,18.7,0,0,0,0,0,0,1.6,4,19321.0
130,39.97350566,-86.15260993,32428,2,22,1,133,61,4,31,39,2,13,5,Carmel,IN,Hamilton County,111012,3005,209,211,261,43,32.8,0,0,0,0,0,0,2.7,5,6954.0
131,39.77426113,-85.96372355,28935,5,9,1,53,1,4,4,2,2,1,1,Indianapolis,IN,Marion County,360501,4011,141,257,162,0,30.6,80,235,86,14,294,64,11.1,16,22655.0
132,39.61430975,-86.16198608,29618,7,26,2,0,1,6,8,3,1,2,5,Greenwood,IN,Johnson County,610605,2002,424,270,343,76,39.8,0,324,8,35,338,74,3.8,9,21012.0
133,39.76113829,-86.32979394,32235,6,33,0,0,4,3,9,1,5,0,19,Avon,IN,Hendricks County,210614,3015,120,442,204,0,30.8,28,633,87,87,338,103,8.0,15,13751.0
134,39.66352347,-86.07739667,36182,6,7,0,16,24,3,8,0,1,2,6,Indianapolis,IN,Marion County,390405,2000,148,63,138,0,41.6,140,621,172,278,557,131,5.3,9,124951.0
135,39.43123157,-84.59693799,23041,5,23,2,6,0,4,5,1,0,0,3,Hamilton,OH,Butler County,1002,4011,275,42,47,0,46.0,15,211,138,53,206,255,6.4,16,7080.0
136,40.04894663,-85.64864427,32420,3,8,0,0,1,1,1,0,1,0,3,Anderson,IN,Madison County,1802,1027,568,141,173,0,46.8,0,63,30,27,142,149,0.6,2,2232.0
137,40.41485324,-86.81263453,34581,6,18,1,32,9,7,12,5,2,16,3,Lafayette,IN,Tippecanoe County,10800,1021,538,273,166,50,51.1,0,0,0,0,0,0,8.1,12,6702.0
138,41.13377236,-85.01267927,35076,5,14,0,0,9,3,5,0,3,0,2,Fort Wayne,IN,Allen County,10808,3003,116,194,63,31,40.7,25,107,147,184,527,7,8.0,13,4355.0
139,40.22114226,-85.45892992,37388,5,2,0,78,6,4,5,1,5,0,8,Muncie,IN,Delaware County,2502,2021,297,206,67,54,49.3,0,451,148,78,441,242,7.4,13,30668.0
140,43.04105621,-83.3265686,38925,9,25,3,4,1,5,3,2,0,0,3,Lapeer,MI,Lapeer County,337000,4006,167,150,20,0,39.3,79,381,79,148,602,214,1.6,4,24485.0
141,40.47427602,-86.10084257,39040,10,14,2,0,9,7,4,1,1,2,8,Kokomo,IN,Howard County,1300,2010,301,408,115,25,39.2,77,329,58,121,314,67,0.9,2,6684.0
142,41.41167571,-82.66313365,25668,8,35,0,0,58,8,5,6,41,3,4,Sandusky,OH,Erie County,41900,2019,307,334,284,128,47.5,0,212,41,55,231,99,1.0,4,5575.0
143,40.16105136,-83.02280826,20796,7,22,3,23,2,6,10,6,4,14,2,Lewis Center,OH,Delaware County,11520,1008,228,212,475,163,47.1,61,334,59,220,397,121,4.7,9,14404.0
144,39.75023011,-82.65495619,25280,3,6,1,0,14,5,6,10,3,0,5,Lancaster,OH,Fairfield County,30901,3063,61,128,69,0,65.4,49,288,280,21,334,331,7.6,13,2293.0
145,42.55071118,-82.96267866,37741,11,6,4,5,4,6,16,2,6,0,4,Fraser,MI,Macomb County,254100,1000,204,199,269,132,50.6,54,408,182,190,590,334,3.8,11,21112.0
146,40.14510892,-88.26078535,36004,15,34,1,52,9,9,21,14,4,5,5,Champaign,IL,Champaign County,800,3006,54,316,150,36,32.5,37,807,51,463,856,334,0.7,4,
147,39.35736332,-84.37604297,25718,16,56,2,8,1,10,10,12,3,1,3,West Chester,OH,Butler County,11125,1011,106,109,199,226,52.1,137,422,141,170,475,165,2.5,5,8426.0
148,39.09845478,-84.26468225,25019,14,37,2,51,4,9,4,4,7,0,4,Cincinnati,OH,Clermont County,41307,2072,389,218,174,3,34.8,108,825,385,283,631,406,1.6,5,5840.0
149,41.67518188,-86.88986771,32015,18,37,2,32,3,13,11,47,28,8,3,Michigan City,IN,Laporte County,41400,2006,464,91,8,0,25.1,117,857,115,259,831,122,1.0,4,73644.0
150,39.29233058,-84.29251509,22055,10,26,3,119,44,7,16,18,21,5,3,Loveland,OH,Warren County,32011,1001,186,453,95,0,30.2,112,498,107,71,536,74,1.7,6,26998.0
151,39.01147431,-84.63836966,19129,13,39,0,68,15,9,13,10,3,6,21,Florence,KY,Boone County,70311,1022,293,283,54,0,43.7,57,576,190,116,497,312,1.0,3,
152,39.95184372,-86.34247867,25011,8,33,1,9,2,7,1,1,0,0,1,Zionsville,IN,Boone County,810607,1017,172,446,368,258,28.7,93,861,117,212,878,195,0.8,3,29380.0
153,40.52152834,-85.67720935,31735,4,4,16,0,0,3,1,0,0,0,3,Marion,IN,Grant County,10200,1037,227,186,160,0,35.6,0,262,193,80,260,265,8.7,16,13427.0
154,39.92563907,-86.02040953,26749,8,29,1,0,8,9,16,6,2,2,6,Indianapolis,IN,Marion County,330109,3000,223,132,240,24,48.4,269,553,109,231,582,54,0.6,4,26447.0
155,39.86822996,-84.88536053,31771,3,7,8,0,0,3,2,2,1,1,1,Richmond,IN,Wayne County,400,1035,505,285,223,39,44.7,42,340,102,67,360,223,0.5,2,3234.0
156,41.37710642,-83.60755419,21194,5,10,8,71,9,4,13,7,3,5,5,Bowling Green,OH,Wood County,22500,2018,198,175,102,29,32.2,49,689,110,145,734,167,0.6,2,4395.0
157,39.19718367,-84.23758844,25084,8,24,6,11,1,8,8,1,19,0,1,Milford,OH,Clermont County,40403,1009,488,279,265,58,35.2,109,367,71,67,427,109,1.5,5,27709.0
158,42.9966672,-85.59439066,51459,5,35,11,8,1,4,17,0,4,3,7,Grand Rapids,MI,Kent County,11803,3008,230,196,179,362,41.9,102,643,285,203,742,397,1.8,4,13114.0
159,39.30534399,-84.52719651,31078,8,25,1,835,4,7,10,2,5,0,7,Fairfield,OH,Butler County,10907,1010,398,174,212,94,38.2,38,230,118,125,380,149,0.6,3,36098.0
160,38.18800326,-85.60792269,24857,2,4,0,0,0,2,9,4,2,0,3,Louisville,KY,Jefferson County,11114,3001,199,99,124,0,67.1,58,705,434,301,922,104,3.9,12,
161,38.01880911,-84.42222391,28556,11,36,1,17,2,8,13,5,4,10,6,Lexington,KY,Fayette County,3908,4052,283,112,264,87,33.2,9,139,181,27,112,431,1.9,9,
162,38.11157721,-85.86098372,23496,5,14,8,9,1,4,5,0,0,0,1,Louisville,KY,Jefferson County,12105,4007,154,100,44,0,26.1,194,1456,298,544,1538,444,1.5,5,
164,38.29916381,-85.55390081,15864,10,28,0,0,1,6,13,22,2,1,6,Louisville,KY,Jefferson County,10309,1000,189,78,232,89,57.9,161,434,68,221,407,166,3.3,8,
165,41.46773333,-87.34556495,40448,5,14,1,0,1,4,8,4,2,7,6,Merrillville,IN,Lake County,42509,2002,178,327,115,0,39.2,409,1051,51,398,1707,112,1.1,4,16960.0
166,38.11242274,-85.67959147,25383,3,0,0,0,0,3,4,2,0,1,7,Louisville,KY,Jefferson County,11909,2013,195,342,111,0,35.4,24,249,123,17,278,119,0.6,3,
167,38.32327017,-85.70907923,22059,5,8,1,20,0,6,2,0,11,0,4,Jeffersonville,IN,Clark County,50603,2000,337,244,11,0,45.8,117,356,58,140,590,61,2.2,7,23445.0
168,38.99735543,-84.42169647,17877,4,7,1,19,0,4,2,2,3,0,2,Cold Spring,KY,Campbell County,53100,4026,283,324,217,30,52.1,150,985,236,191,858,155,4.1,10,
169,41.70092412,-88.12752492,26157,10,38,1,0,9,4,7,1,1,11,8,Bolingbrook,IL,Will County,880122,2000,21,34,277,68,37.6,41,240,77,43,418,143,6.0,13,
170,41.52855792,-87.47407657,38565,11,17,2,0,2,5,14,5,4,12,6,Highland,IN,Lake County,40502,2013,160,298,208,29,53.9,150,755,126,125,476,202,3.5,9,7706.0
171,44.2839134,-85.40478726,32013,8,14,0,0,1,8,5,1,1,0,2,Cadillac,MI,Wexford County,380500,1015,283,289,77,0,38.7,47,361,59,70,415,90,18.4,19,10388.0
172,42.59057693,-83.87680774,33624,6,15,2,18,6,5,3,2,0,2,6,Howell,MI,Livingston County,742403,3013,146,123,190,18,30.6,216,857,93,367,771,132,0.9,4,5466.0
173,42.28568575,-83.84177473,36663,4,15,1,5,3,6,3,0,4,4,0,Ann Arbor,MI,Washtenaw County,455000,4000,29,127,176,147,41.0,317,679,194,322,530,296,5.4,8,16459.0
174,42.56552504,-84.44551874,33995,4,6,2,14,1,2,1,1,0,0,2,Mason,MI,Ingham County,6302,1027,403,331,314,15,44.7,65,390,50,232,447,111,6.1,8,1870.0
175,41.93403729,-85.65504627,27090,7,10,2,11,13,6,2,0,0,0,3,Three Rivers,MI,St. Joseph County,41102,3014,126,81,66,11,37.5,126,845,95,196,505,90,37.3,43,5807.0
176,39.73842991,-89.70178091,29505,4,10,0,18,60,2,4,13,4,13,2,Springfield,IL,Sangamon County,3603,2047,73,164,302,306,48.6,0,0,0,0,0,0,0.7,2,
177,42.71613853,-83.0321395,27868,7,10,0,19,1,4,3,0,6,0,1,Washington,MI,Macomb County,215300,2025,237,357,295,34,43.4,20,643,38,78,552,79,0.8,3,45211.0
178,41.76787959,-88.20946516,28992,18,59,2,148,60,9,27,13,5,17,6,Aurora,IL,Dupage County,846509,3000,69,421,569,278,33.4,83,347,72,91,392,148,3.7,11,
179,41.93761495,-84.95942217,30218,7,2,0,0,1,3,3,0,0,0,5,Coldwater,MI,Branch County,951301,1029,234,154,102,48,41.2,98,554,143,112,615,235,1.0,4,2501.0
180,43.03927805,-86.21685178,32063,7,14,1,2,1,5,3,0,2,0,4,Grand Haven,MI,Ottawa County,21204,3011,84,287,65,0,30.9,122,468,60,173,448,107,3.5,8,6133.0
181,40.15061267,-82.92538021,34761,4,22,0,17,7,3,7,6,1,13,3,Westerville,OH,Delaware County,11762,1009,75,154,254,82,28.5,309,1042,150,259,1249,339,3.2,9,21489.0
182,41.90077437,-88.34366785,33594,10,24,1,10,8,7,13,8,3,5,7,Saint Charles,IL,Kane County,852204,1029,64,112,401,107,33.5,9,303,504,10,207,513,9.1,18,
183,42.01191187,-88.33390062,24959,4,14,16,0,2,6,7,0,6,8,4,Elgin,IL,Kane County,851908,3007,65,363,216,53,38.4,42,474,99,85,375,78,3.4,8,
184,37.9962746,-84.53123263,23396,10,46,4,9,11,7,38,12,8,7,9,Lexington,KY,Fayette County,4204,1003,239,289,132,50,42.5,142,921,100,215,793,106,1.4,7,
185,42.70567306,-83.28715872,39373,11,13,0,0,1,8,8,8,4,2,2,Auburn Hills,MI,Oakland County,140500,4000,0,0,0,0,0.0,53,369,188,234,388,162,0.7,3,30757.0
