name,address,latitude,longitude,county
Meijer,"1251 M-32, Alpena, MI 49707, United States",45.0591468,-83.4746932,Alcona
Meijer,"100 Pigeon Rd, Bad Axe, MI 48413, United States",43.8256988,-83.0047454,Alcona
Meijer,"9515 Birch Run Rd, Birch Run, MI 48415, United States",43.2529182,-83.7658004,Alcona
Meijer,"3360 Tittabawassee Rd, Saginaw, MI 48604, United States",43.4820299,-83.9824788,Alcona
Meijer Express Gas Station,"1241 M-32, Alpena, MI 49707, United States",45.0611621,-83.4746063,Alcona
Meijer,"7300 Eastman Ave, Midland, MI 48642, United States",43.66317,-84.2431904,Alcona
Meijer,"3955 US-31, Traverse City, MI 49684, United States",44.7431122,-85.6445616,Alcona
Meijer,"3630 US-41 West, Marquette, MI 49855, United States",46.5530229,-87.4717557,Alger
Meijer,"505 N 26th St, Escanaba, MI 49829, United States",45.7514114,-87.0866699,Alger
Meijer,"1201 Lears Rd, Petoskey, MI 49770, United States",45.3469047,-84.9648513,Alger
Meijer,"3691 M-55, West Branch, MI 48661, United States",44.2742424,-84.2742614,Alger
Meijer Express Gas Station,"3730 US-41, Marquette, MI 49855, United States",46.5487136,-87.4747672,Alger
Meijer Express Gas Station,"2600 3rd Ave N, Escanaba, MI 49829, United States",45.7492853,-87.0854277,Alger
Meijer,"800 US-131, Three Rivers, MI 49093, United States",41.9339359,-85.6544184,Alger
Meijer,"5300 Harvey St, Muskegon, MI 49444, United States",43.1564924,-86.2032498,Alger
Meijer,"1540 28th St SE, Grand Rapids, MI 49508, United States",42.9109204,-85.62924,Alger
Meijer,"315 Wilson Ave NW, Grand Rapids, MI 49534, United States",42.969937,-85.7786065,Alger
Meijer,"3825 Carpenter Rd, Ypsilanti, MI 48197, United States",42.2340066,-83.6770729,Alger
Meijer,"28800 Telegraph Rd, Southfield, MI 48034, United States",42.5001128,-83.2823578,Alger
Meijer,"21431 Grand River Ave, Detroit, MI 48219, United States",42.4122461,-83.2528348,Alger
Meijer,"1301 Eight Mile Rd, Detroit, MI 48203, United States",42.4446792,-83.1192245,Alger
Meijer Express Gas Station,"7420 N Alger Rd, Alma, MI 48801, United States",43.3989601,-84.6662143,Alger
Meijer,"3565 Fairlane Dr, Allen Park, MI 48101, United States",42.2789819,-83.2040801,Alger
Meijer Express Gas Station,"2141 US-131, Petoskey, MI 49770, United States",45.3459991,-84.9670953,Alger
Meijer,"1195 M-89, Plainwell, MI 49080, United States",42.4523698,-85.6601861,Allegan
Meijer,"4900 M-72, Williamsburg, MI 49690, United States",44.7708506,-85.4771958,Antrim
Meijer,"250 Meijer Dr, Gaylord, MI 49735, United States",45.0249741,-84.7233385,Antrim
Meijer,"4900 M-72 E, Williamsburg, MI 49690, United States",44.7708506,-85.4771958,Antrim
Meijer,"8605 34 Rd, Cadillac, MI 49601, United States",44.2837106,-85.4050028,Antrim
Meijer,"1015 E Pickard St, Mt Pleasant, MI 48858, United States",43.614212,-84.7648504,Antrim
Meijer,"2805 W Cheesman Rd, Alma, MI 48801, United States",43.3983948,-84.6624102,Antrim
Meijer,"3700 17 Mile Rd NE, Cedar Springs, MI 49319, United States",43.217321,-85.5792888,Antrim
Meijer Express Gas Station,"40 Meijer Dr, Gaylord, MI 49735, United States",45.0270784,-84.7230404,Antrim
Meijer,"550 Hull Rd, Mason, MI 48854, United States",42.5659498,-84.444688,Antrim
Meijer,"2777 Airport Rd, Jackson, MI 49202, United States",42.2712674,-84.4505632,Antrim
Meijer,"1167 E Clinton Trail, Charlotte, MI 48813, United States",42.5551697,-84.8142953,Antrim
Meijer,"22600 Allen Rd, Woodhaven, MI 48183, United States",42.1439784,-83.2300745,Antrim
Meijer,"7157 E Saginaw St, East Lansing, MI 48823, United States",42.773573,-84.4178103,Antrim
Meijer,"9701 Belleville Rd, Belleville, MI 48111, United States",42.2320789,-83.4831806,Antrim
Meijer,"5019 Red Arrow Hwy, Stevensville, MI 49127, United States",42.0262862,-86.5160359,Antrim
Meijer,"14640 Pardee Rd, Taylor, MI 48180, United States",42.2003355,-83.2613078,Antrim
Meijer,"5645 Jackson Rd, Ann Arbor, MI 48103, United States",42.286165,-83.8419384,Antrim
Meijer,"20401 Haggerty Rd, Township of Northville, MI 48167, United States",42.4356869,-83.4371012,Antrim
Meijer,"3145 Ann Arbor-Saline Rd, Ann Arbor, MI 48103, United States",42.239608,-83.766545,Antrim
Meijer,"5800 Gull Rd, Kalamazoo, MI 49048, United States",42.323266,-85.5153914,Antrim
Meijer,"6660 W Main St, Kalamazoo, MI 49009, United States",42.2985975,-85.6795672,Antrim
Meijer,"225 Meijer Dr, Gaylord, MI 49735, United States",45.0254877,-84.7243762,Antrim
Meijer,"595 N Pine Rd, Bay City, MI 48708, United States",43.5827165,-83.8388917,Arenac
Meijer,"2980 Wilder Rd, Bay City, MI 48706, United States",43.6218004,-83.9341727,Arenac
Meijer,"8400 Gratiot Rd, Saginaw, MI 48609, United States",43.4179573,-84.0796051,Arenac
Meijer,"1801 Marketplace Dr SE, Caledonia, MI 49316, United States",42.8462516,-85.6193955,Arenac
Meijer Express Gas Station,"1023 N Van Dyke Rd, Bad Axe, MI 48413, United States",43.8243782,-83.0013038,Arenac
Meijer,"1997 E Beltline Ave NE, Grand Rapids, MI 49525, United States",42.9967323,-85.5942082,Arenac
Meijer,"1006 N Van Dyke Rd, Bad Axe, MI 48413, United States",43.8237466,-83.0007968,Arenac
Meijer Express Gas Station,"7140 Eastman Ave, Midland, MI 48642, United States",43.6626171,-84.2465328,Arenac
Meijer Express Gas Station,"6700 Broadmoor Ave SE, Caledonia, MI 49316, United States",42.8423657,-85.5309757,Arenac
Meijer,"3610 Marketplace Cir, Rochester Hills, MI 48309, United States",42.6434377,-83.2060397,Baraga
Meijer,"49900 Grand River Ave, Wixom, MI 48393, United States",42.4977493,-83.5411911,Baraga
Meijer,"2160 Hartland Rd, Hartland, MI 48353, United States",42.6384221,-83.7442177,Baraga
Meijer,"3175 S Rochester Rd, Rochester Hills, MI 48307, United States",42.6344456,-83.1284868,Baraga
Meijer,"37201 Warren Rd, Westland, MI 48185, United States",42.333412,-83.406013,Baraga
Meijer,"6405 B Dr N, Battle Creek, MI 49014, United States",42.263198,-85.1734044,Barry
Meijer,"11901 Fulton St E, Lowell Charter Township, MI 49331, United States",42.9333975,-85.3746319,Barry
Meijer,"2770 S State Rd, Ionia, MI 48846, United States",42.9463032,-85.0773741,Barry
Meijer,"2191 W Columbia Ave, Battle Creek, MI 49015, United States",42.294587,-85.2360084,Barry
Meijer,"5121 S Westnedge Ave, Portage, MI 49002, United States",42.2424882,-85.5873337,Barry
Meijer,"5531 28th St Ct SE, Grand Rapids, MI 49512, United States",42.9159337,-85.532151,Barry
Meijer,"5500 Clyde Park Ave SW, Wyoming, MI 49509, United States",42.8637909,-85.6811215,Barry
Meijer,"730 E Saginaw Hwy, Grand Ledge, MI 48837, United States",42.738588,-84.741562,Barry
Meijer,"12821 Crossover Dr, DeWitt, MI 48820, United States",42.8290801,-84.5371836,Barry
Meijer,"3434 Century Center St SW, Grandville, MI 49418, United States",42.8798547,-85.748607,Barry
Meijer,"2055 W Grand River Ave, Okemos, MI 48864, United States",42.7197222,-84.4252778,Barry
Meijer,"606 S Greenville W Dr, Greenville, MI 48838, United States",43.1747604,-85.2776512,Barry
Meijer,"2799 10 Mile Rd NE, Rockford, MI 49341, United States",43.1194779,-85.6019817,Barry
Meijer,"550 Baldwin St, Jenison, MI 49428, United States",42.9049568,-85.7948913,Barry
Meijer,"6200 S Pennsylvania Ave, Lansing, MI 48911, United States",42.6680054,-84.540846,Barry
Meijer,"4075 32nd Ave, Hudsonville, MI 49426, United States",42.8428593,-85.863496,Barry
Meijer,"5125 W Saginaw Hwy, Lansing, MI 48917, United States",42.7392458,-84.6236254,Barry
Meijer,"15000 US-31, Grand Haven, MI 49417, United States",43.0392583,-86.2175056,Barry
Meijer,"1350 W Lake Lansing Rd, East Lansing, MI 48823, United States",42.7625,-84.5005555,Barry
Meijer,"8850 Shaver Rd, Portage, MI 49024, United States",42.1885773,-85.6039598,Barry
Meijer,"3333 E Michigan Ave, Jackson, MI 49202, United States",42.255201,-84.3597991,Barry
Meijer,"620 E Chicago Rd, Coldwater, MI 49036, United States",41.937628,-84.9594768,Barry
Meijer,"2425 Alpine Ave NW, Grand Rapids, MI 49544, United States",43.0078252,-85.6910749,Barry
Meijer,"3320 W Shr Dr, Holland, MI 49424, United States",42.8288269,-86.0909194,Barry
Meijer,"1223 Phoenix St, South Haven, MI 49090, United States",42.4062846,-86.2566099,Barry
Meijer,"15400 Waldron Way, Big Rapids, MI 49307, United States",43.6904411,-85.516716,Barry
Meijer,"3757 Plainfield Ave NE, Grand Rapids, MI 49525, United States",43.0332866,-85.6281376,Barry
Meijer,"11901 Fulton St E, Lowell, MI 49331, United States",42.9332556,-85.3746566,Barry
Meijer,"746 E 16th St, Holland, MI 49423, United States",42.7815232,-86.0755654,Barry
Meijer,"408 W South St, Sturgis, MI 49091, United States",41.7866373,-85.4244934,Barry
Meijer Express Gas Station,"2750 S State Rd, Ionia, MI 48846, United States",42.9481147,-85.0755104,Barry
Meijer,"15 Caberfae Hwy, Manistee, MI 49660, United States",44.2673394,-86.2954866,Benzie
Meijer Express Gas Station,"3965 US-31, Traverse City, MI 49684, United States",44.7435604,-85.6422922,Benzie
Meijer,"3900 US-10, Ludington, MI 49431, United States",43.9583358,-86.3772048,Benzie
Meijer,"1920 Pipestone Rd, Benton Harbor, MI 49022, United States",42.0827148,-86.4216183,Berrien
Meijer Express Gas Station,"4931 Red Arrow Hwy, Stevensville, MI 49127, United States",42.0281796,-86.515443,Berrien
Meijer Express Gas Station,"2217 W Columbia Ave, Battle Creek, MI 49015, United States",42.2966504,-85.2377101,Calhoun
Meijer Express Gas Station,"6345 B Dr N, Battle Creek, MI 49014, United States",42.2616721,-85.1743075,Calhoun
Meijer Express Gas Station,"824 S US Hwy 131, Three Rivers, MI 49093, United States",41.9331334,-85.6524231,Cass
Meijer,"1138 3 Mile Rd, Sault Ste. Marie, MI 49783, United States",46.4656245,-84.3876595,Cheboygan
Meijer,"2333 S Center Rd, Burton, MI 48519, United States",42.9937913,-83.6305099,Cheboygan
Meijer,"3710 Dix Hwy, Lincoln Park, MI 48146, United States",42.2313254,-83.19611,Cheboygan
Meijer,"1703 Haggerty Rd, Commerce Charter Twp, MI 48390, United States",42.5475731,-83.4423379,Cheboygan
Meijer Express Gas Station,"1106 3 Mile Rd, Sault Ste. Marie, MI 49783, United States",46.4635853,-84.3866686,Chippewa
Meijer,"205 S Range Rd, Marysville, MI 48040, United States",42.9087181,-82.4977874,Clare
Meijer,"900 N Lapeer Rd, Oxford, MI 48371, United States",42.8406115,-83.2710286,Clare
Meijer,"1700 N Telegraph Rd, Monroe, MI 48162, United States",41.9448794,-83.3993871,Clare
Meijer,"15055 Hall Rd, Shelby Twp, MI 48315, United States",42.6301282,-82.9767326,Clare
Meijer,"4775 24th Ave, Fort Gratiot Twp, MI 48059, United States",43.0461111,-82.46,Clare
Meijer,"45001 Ford Rd, Canton, MI 48187, United States",42.3193573,-83.4845161,Clare
Meijer,"1005 E Thirteen Mile Rd, Madison Heights, MI 48071, United States",42.5229734,-83.0972961,Clare
Meijer,"6001 Highland Rd, White Lake Charter Township, MI 48383, United States",42.6511837,-83.5314996,Clare
Meijer,"2474 W Hill Rd, Flint, MI 48507, United States",42.946392,-83.7283822,Clare
Meijer,"30800 Little Mack Ave, Roseville, MI 48066, United States",42.5234952,-82.9059331,Clare
Meijer,"34835 Utica Rd, Fraser, MI 48026, United States",42.5511714,-82.9637671,Clare
Meijer,"G, 2333 S Center Rd, Burton, MI 48519, United States",42.9937913,-83.6305099,Clare
Meijer,"40445 S Groesbeck Hwy, Clinton Twp, MI 48036, United States",42.5965708,-82.9034509,Clinton
Meijer,"3883 E Grand River Ave, Howell, MI 48843, United States",42.5901834,-83.8768548,Crawford
Meijer Express Gas Station,"3701 M-55, West Branch, MI 48661, United States",44.2759816,-84.2747219,Crawford
Meijer,"1800 Holton Rd, North Muskegon, MI 49445, United States",43.2836138,-86.2205876,Dickinson
Meijer,"15375 24 Mile Rd, Macomb Township, MI 48042, United States",42.6872202,-82.9735696,Dickinson
Meijer,"700 W Norton Ave, Muskegon, MI 49441, United States",43.1926956,-86.2616285,Dickinson
Meijer,"100 Michigan St NE, Grand Rapids, MI 49503, United States",42.969485,-85.6649995,Dickinson
Meijer,"15055 Hall Rd, Utica, MI 48315, United States",42.6295529,-82.9756643,Dickinson
Meijer Express Gas Station,"1085 E Clinton Trail, Charlotte, MI 48813, United States",42.5535708,-84.8157301,Eaton
Meijer Express Gas Station,"740 E Saginaw Hwy, Grand Ledge, MI 48837, United States",42.7401586,-84.7405511,Eaton
Meijer,"2591 E M 21, Corunna, MI 48817, United States",43.0018429,-84.1158384,Eaton
Meijer,"4141 Morrish Rd, Swartz Creek, MI 48473, United States",42.9683953,-83.8273626,Genesee
Meijer,"8089 Lapeer Rd, Davison, MI 48423, United States",43.0144171,-83.5526638,Genesee
Meijer,"4333 Pierson Rd # G, Flint, MI 48504, United States",43.0577332,-83.7654939,Genesee
Meijer,"1015 W Pickard St, Mt Pleasant, MI 48858, United States",43.6141629,-84.7655559,Gladwin
Meijer,"4677 Alpine Ave NW, Comstock Park, MI 49321, United States",43.048889,-85.6901268,Gladwin
Meijer,"8650 W Grand River Ave, Brighton, MI 48116, United States",42.5387281,-83.7885083,Gogebic
Meijer,"5956 Promenade Shops Blvd, Hillsdale, MI 49250, United States",41.9510377,-84.661931,Hillsdale
Meijer,"3630 US-41, Marquette, MI 49855, United States",46.5529635,-87.4719174,Houghton
Meijer Express Gas Station,"7149 E Saginaw St, East Lansing, MI 48823, United States",42.7713938,-84.4184926,Ingham
Meijer Express Gas Station,"6250 S Pennsylvania Ave, Lansing, MI 48911, United States",42.6674417,-84.5386417,Ingham
Meijer Express Gas Station,"5307 W Saginaw Hwy, Lansing, MI 48917, United States",42.7405902,-84.6247821,Ingham
Meijer Express Gas Station,"500 Hull Rd, Mason, MI 48854, United States",42.5672004,-84.4438516,Ingham
Meijer,"800 Brown Rd, Auburn Hills, MI 48326, United States",42.7056432,-83.2871766,Iosco
Meijer,"500-698 S Van Etten St, Pinconning, MI 48650, United States",43.8518635,-83.9636073,Iosco
Meijer,"4665 S Green Ave, Fremont, MI 49412, United States",43.4701759,-85.9815419,Iron
Meijer,"1555 Demille Rd, Lapeer, MI 48446, United States",43.041515,-83.325778,Iron
Meijer,"4200 Highland Rd, Waterford Twp, MI 48328, United States",42.653337,-83.3689422,Iron
Meijer,"36865 26 Mile Rd, New Haven, MI 48048, United States",42.7225189,-82.7418136,Iron
Meijer,"1107 S Lapeer Rd, Lake Orion, MI 48360, United States",42.7660815,-83.2388282,Iron
Meijer,"25225 Schoenherr Rd, Warren, MI 48089, United States",42.4800943,-82.9885699,Iron
Meijer,"5411 28th St Ct SE, Grand Rapids, MI 49512, United States",42.9155199,-85.5335267,Kent
Meijer Express Gas Station,"5531 28th St SE, Grand Rapids, MI 49512, United States",42.913739,-85.5319574,Kent
Meijer,"3434 Century Center St SW SW, Grandville, MI 49418, United States",42.8815352,-85.7459129,Kent
Meijer Express Gas Station,"Knapps Corner, 1999 E Beltline Ave NE, Grand Rapids, MI 49525, United States",42.9968645,-85.5915965,Kent
Meijer Express Gas Station,"2453 Alpine Ave NW, Grand Rapids, MI 49544, United States",43.0082599,-85.6892188,Kent
Meijer Express Gas Station,"420 Stocking Ave NW Suite G, Grand Rapids, MI 49504, United States",42.9717125,-85.6845665,Kent
Meijer Express Gas Station,"2900 Kalamazoo Ave SE, Grand Rapids, MI 49508, United States",42.910613,-85.627076,Kent
Meijer Express Gas Station,"2988 Walker Ave NW, Grand Rapids, MI 49544, United States",43.0185169,-85.7238812,Kent
Meijer Express Gas Station,"4580 Ivanrest Ave SW, Grandville, MI 49418, United States",42.8812502,-85.7425611,Kent
Meijer Express Gas Station,"11853 Fulton St E, Lowell, MI 49331, United States",42.931156,-85.3750066,Kent
Meijer Express Gas Station,"213 Wilson Ave NW, Grand Rapids, MI 49534, United States",42.9688199,-85.7768253,Kent
Meijer Express Gas Station,"3650 17 Mile Rd NE, Cedar Springs, MI 49319, United States",43.2191257,-85.5803605,Kent
Meijer Express Gas Station,"2797 10 Mile Rd NE, Rockford, MI 49341, United States",43.1176216,-85.6008661,Kent
Meijer,"149-101 W Front St, Traverse City, MI 49684, United States",44.7640604,-85.6241165,Leelanau
Meijer,"217 US-223, Adrian, MI 49221, United States",41.8762332,-84.0356064,Lenawee
Meijer,"8401 26 Mile Rd, Washington, MI 48094, United States",42.7157554,-83.0319671,Luce
Meijer,"13000 Middlebelt Rd, Livonia, MI 48150, United States",42.3779874,-83.3301397,Luce
Meijer,"2591 M-21, Corunna, MI 48817, United States",43.0015965,-84.1154752,Luce
Meijer Express Gas Station,"2527 E M 21, Corunna, MI 48817, United States",42.9989072,-84.1162792,Luce
Meijer,"36865 26 Mile Rd, Lenox, MI 48048, United States",42.7220452,-82.7415288,Luce
Meijer Express Gas Station,"8396 Gratiot Rd, Saginaw, MI 48609, United States",43.4165007,-84.0776127,Mackinac
Meijer,"27255 23 Mile Rd, Chesterfield, MI 48051, United States",42.6764755,-82.8357543,Macomb
Meijer,"36600 Van Dyke Ave, Sterling Heights, MI 48312, United States",42.5627301,-83.0264473,Macomb
Meijer,"29505 Mound Rd, Warren, MI 48092, United States",42.5098834,-83.049324,Macomb
Meijer Express Gas Station,"3960 US-10, Ludington, MI 49431, United States",43.9567937,-86.3786358,Mason
Meijer Express Gas Station,"15375 Waldron Way, Big Rapids, MI 49307, United States",43.6884144,-85.515799,Mecosta
Meijer,"6001 Highland Rd, White Lake, MI 48383, United States",42.651411,-83.5308897,Menominee
Meijer,"505 N 26th St suite a, Escanaba, MI 49829, United States",45.7654462,-87.0846575,Menominee
Meijer Express Gas Station,"8285 34 Rd, Cadillac, MI 49601, United States",44.2819082,-85.405727,Missaukee
Meijer Express Gas Station,"415 S Greenville W Dr, Greenville, MI 48838, United States",43.176488,-85.2803306,Montcalm
Meijer Express Gas Station,"5326 Harvey St, Muskegon, MI 49444, United States",43.1555837,-86.2050913,Muskegon
Meijer Express Gas Station,"650 W Norton Ave, Muskegon, MI 49441, United States",43.1910771,-86.2610929,Muskegon
Meijer Express Gas Station,"7273 W 48th St, Fremont, MI 49412, United States",43.4678154,-85.9818348,Newaygo
Meijer,"5150 Coolidge Hwy, Royal Oak, MI 48073, United States",42.5387463,-83.1817991,Oakland
Meijer,"3175 S Rochester Rd, Rochester Hills, MI 48306, United States",42.6338534,-83.1283764,Oakland
Meijer Express Gas Station,"2754 S Adams Rd, Rochester Hills, MI 48309, United States",42.6405571,-83.2060504,Oakland
Meijer Express Gas Station,"1101 E Thirteen Mile Rd, Madison Heights, MI 48071, United States",42.5210675,-83.0951421,Oakland
Meijer,"17 Caberfae Hwy, Manistee, MI 49660, United States",44.2664743,-86.2965456,Oceana
Meijer,"16300 Fort St, Southgate, MI 48195, United States",42.1914139,-83.1845448,Oscoda
Meijer Express Gas Station,"3228 W Shr Dr, Holland, MI 49424, United States",42.8268834,-86.0902808,Ottawa
Meijer Express Gas Station,"14900 US-31, Grand Haven, MI 49417, United States",43.0382099,-86.2193507,Ottawa
Meijer Express Gas Station,"2995 Gratiot Blvd, Marysville, MI 48040, United States",42.9107361,-82.4958546,St. Clair
Meijer Express Gas Station,"4725 24th Ave, Fort Gratiot Twp, MI 48059, United States",43.0459056,-82.4579791,St. Clair
Meijer Express Gas Station,"36689 26 Mile Rd, Lenox, MI 48048, United States",42.7210227,-82.7425376,St. Clair
Meijer Express Gas Station,"51095 Gratiot Ave, Chesterfield, MI 48051, United States",42.6761896,-82.8327126,St. Clair
Meijer Express Gas Station,"1174 S Centerville Rd, Sturgis, MI 49091, United States",41.7870373,-85.4278011,St. Joseph
Meijer,"800 S US Hwy 131 Ste A, Three Rivers, MI 49093, United States",41.934064,-85.655071,St. Joseph
Meijer Express Gas Station,"1515 Demille Rd, Lapeer, MI 48446, United States",43.0428124,-83.3245142,Sanilac
Meijer,"26100 Vreeland Rd, Flat Rock, MI 48134, United States",42.1101583,-83.2896231,Sanilac
Meijer Express Gas Station,"1235 Irish Rd Trail, Davison, MI 48423, United States",43.0131028,-83.5547639,Sanilac
Meijer Express Gas Station,"9517 Birch Run Rd, Birch Run, MI 48415, United States",43.2508832,-83.7654838,Tuscola
Meijer Express Gas Station,"521 N Pine Rd, Bay City, MI 48708, United States",43.580492,-83.8378823,Tuscola
Meijer Express Gas Station,"5671 Jackson Rd, Ann Arbor, MI 48103, United States",42.287728,-83.8420591,Washtenaw
Meijer Express Gas Station,"3995 Carpenter Rd, Ypsilanti, MI 48197, United States",42.2314156,-83.679345,Washtenaw
Meijer,"1475 E Jefferson Ave, Detroit, MI 48207, United States",42.3343963,-83.0326004,Wayne
Meijer Express Gas Station,"1231 Eight Mile Rd, Detroit, MI 48203, United States",42.4461258,-83.1181549,Wayne
